Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Малишко,Олександр,Федорович,Чоловік,1963-12-22,Детектив,село Славута,"узвіз Пішонівська, буд. 91, Залізне, 56794",+380 32 077 00 55,artymovychruslan@example.com
Саченко,Семен,Олександрович,Чоловік,1952-06-09,Менеджер,хутір Голубівка,"площа Суворовська, буд. 85, Балта, 48622",344-31-68,frants10@example.org
Карпенко,Петро,Петрович,Чоловік,2004-10-29,Парфюмер,місто Самбір,"набережна Миколи Вороного, буд. 40 кв. 4, Щастя , 18364",055 46 99,kolisnychenkoleontii@example.net
Жайворон,Валентин,Петрович,Чоловік,1971-07-25,Палеонтолог,місто Павлоград,"сквер Сумська, буд. 4 кв. 87, Ічня, 50038",610 56 58,rakvarvara@example.org
Кальченко,Арсен,Максимович,Чоловік,1987-06-02,Антрополог,хутір Сіверськ,"парк Молоді, буд. 95, Оріхів, 95421",351-45-45,kylymnykvasylyna@example.com
Овсієнко,Юстим,Михайлович,Чоловік,1972-02-06,Електрик,місто Болград,"узвіз Жасминна, буд. 6, Мар'їнка, 54788",+380 00 230-98-53,ibandera@example.com
Гунько,Трохим,Петрович,Чоловік,1993-05-10,Дизайнер,хутір Алушта,"сквер Розкидайлівська, буд. 93, Ходорів, 04194",262 09 65,dmytro02@example.net
Єрченко,Станіслав,Павлович,Чоловік,1982-01-21,Кінокритик,хутір Бобринець,"вулиця Листяна, буд. 2, Вараш, 31008",+380 (26) 875-62-75,fiefymenko@example.net
Дубенко,Мартин,Богданович,Чоловік,2001-07-15,Паралегал,місто Рудки,"провулок Юрія Яновського, буд. 274, Гірське, 75377",+380 16 953 32 27,artymdaryna@example.net
Базилевич,Зиновій,Володимирович,Чоловік,1950-03-30,Льотчик,місто Добропілля,"вулиця Кінна, буд. 147, Андрушівка, 33459",+380 19 889 87 15,aaron57@example.com
Чекалюк,Степан,Петрович,Чоловік,1994-09-16,Психолог,хутір Суходільськ,"площа Архітекторська, буд. 883 кв. 962, Ясинувата, 69766",661 46 50,ukopytko@example.com
Гаврюшенко,Миколай,Тарасович,Чоловік,1988-07-06,Біолог,село Корсунь-Шевченківський,"шосе Канатна, буд. 49 кв. 7, Вільногірськ, 16115",+380 53 913-05-77,roksolanaoliinyk@example.org
Редько,Мирослав,Євгенович,Чоловік,1948-08-18,Інженер,село П'ятихатки,"вулиця Селищна, буд. 926 кв. 074, Горлівка, 76526",063 899 18 54,demianverkhovynets@example.net
Семенченко,Охрім,Володимирович,Чоловік,1968-06-11,Скульптор,хутір Нова Одеса,"набережна Болградська, буд. 2, Амвросіївка, 79566",+380 (88) 195-85-71,hryhoriikorpaniuk@example.org
Кармалюк,Лукʼян,Павлович,Чоловік,1972-07-05,Мінералог,селище Ворожба,"сквер Нежданової, буд. 9, Красноград, 47453",+380 (11) 235-58-04,marusialavrenko@example.net
Гаврилів,Володимир,Богданович,Чоловік,1981-12-22,Золотар,село Здолбунів,"вулиця Миколи Гумільова, буд. 35, Нововолинськ, 81338",+380 62 130-17-44,vasylenkovenedykt@example.org
Аверченко,Ігор,Юрійович,Чоловік,1961-02-08,Науковець,хутір Алчевськ,"проспект Наявний 7-й, буд. 579 кв. 613, Нове Давидково, 91021",048 063 29 93,feofanholyk@example.org
Пʼятаченко,Гліб,Богданович,Чоловік,1988-01-29,Перекладач,село Новгород-Сіверський,"площа Михайла Грушевського, буд. 3, Прилуки, 24071",+380 10 129 25 89,dmytro85@example.net
Цісик,Леопольд,Романович,Чоловік,1967-11-23,Сантехнік,місто Кам'янка (Черкаська область),"сквер Совіньйонівський, буд. 59 кв. 33, Джанкой, 42487",044 822 32 38,iefremdatsenko@example.net
Кальченко,Лукʼян,Максимович,Чоловік,1967-05-25,Ді-джей,хутір Дружба ,"проспект Краснова, буд. 20, Івано-Франківськ, 30685",+380 (14) 929-25-90,yvysochan@example.net
Хомик,Володимир,Олександрович,Чоловік,1983-05-16,Швачка,місто Рубіжне,"проспект Проектна 2-га, буд. 06, Васильків, 41529",280-83-61,vmalyshko@example.com
Гайдамака,Адам,Богданович,Чоловік,1973-08-28,Дерун,село Кіцмань,"парк Черепанових, буд. 4 кв. 81, Миргород, 78233",+380 02 325 65 46,arsenorlyk@example.org
Ґереґа,Данило,Миколайович,Чоловік,1985-09-29,Промисловець,хутір Зборів,"проспект Радіо, буд. 40, Чернівці, 47136",+380 (88) 549-27-35,ichuiko@example.org
Дубина,Дмитро,Павлович,Чоловік,1948-09-11,Штукатур,село Житомир,"шосе Північний, буд. 19, Липовець, 48462",087 616 86 36,iashchenkoheorhii@example.com
Петрик,Віктор,Юрійович,Чоловік,1954-04-19,Гицель,місто Зоринськ,"сквер Водопровідний 3-й, буд. 24 кв. 390, Дрогобич, 25000",515 55 90,irynademianchuk@example.com
Баран,Вадим,Петрович,Чоловік,1941-04-16,Візажист,місто Тетіїв,"площа Осипова, буд. 06, Бар, 74976",312 15 13,batiukaaron@example.net
Рябченко,Антон,Михайлович,Чоловік,1973-09-03,М'ясник,хутір Жидачів,"площа Москвіна, буд. 485, Костопіль, 79414",582-30-07,shavrylets@example.org
Ільєнко,Остап,Дмитрович,Чоловік,1960-04-24,Кінорежисер,хутір Буринь,"проспект Студентський 1-й, буд. 595 кв. 239, Антрацит , 74238",+380 75 404-52-28,romanbaida@example.org
Кащенко,Орхип,Дмитрович,Чоловік,2005-11-08,Епідеміолог,село Первомайськ,"шосе Соляна, буд. 824, Ровеньки, 72606",587-23-94,lievtushok@example.com
Чарниш,Гаврило,Олегович,Чоловік,1978-06-08,Письменник,селище Джанкой,"шосе Травневий, буд. 08, Рожище, 26955",+380 97 321 82 18,petrovashchenko@example.net
Щербак,Леон,Юрійович,Чоловік,2001-01-18,Електромонтер,селище Вільногірськ,"узвіз Шухевича Романа, буд. 961 кв. 15, Київ, 91408",+380 61 935-53-99,hsomko@example.com
Євдокименко,Леон,Сергійович,Чоловік,1940-05-06,Лікар,село Коростень,"шосе Шкодова гора, буд. 648, Рудки, 51316",+380 41 983-31-36,antonsahal@example.net
Прокопович,Зорян,Євгенович,Чоловік,1963-09-30,Різноробочий,хутір Любомль,"парк Скидановський узвіз, буд. 233, Жашків, 12993",690-73-05,prymachenkooryna@example.org
Ейбоженко,Едуард,Михайлович,Чоловік,1945-10-20,Географ,село Бобринець,"набережна Палубний, буд. 335 кв. 47, Кривий Ріг, 07112",077 273-52-71,albertavramenko@example.org
Ткач,Леопольд,Романович,Чоловік,1973-10-12,Мірошник,місто Перевальськ,"набережна Підйомний, буд. 044, Марганець , 03364",202-41-71,banderaarkadii@example.org
Уманець,Едуард,Романович,Чоловік,1966-01-22,Хореограф,селище Липовець,"площа Листяна, буд. 19 кв. 9, Лубни, 43738",361-78-23,zorian12@example.org
Онуфрієнко,Миколай,Олександрович,Чоловік,1975-12-26,Музичний редактор,село Алчевськ,"площа Виноградна 2-га, буд. 239, Армянськ, 32546",+380 (75) 598-75-06,parmenlubenets@example.org
Скоробогатько,Мартин,Павлович,Чоловік,1972-10-19,Дипломат,хутір Харцизьк,"вулиця Кедровий, буд. 279, Кам'янське, 86150",017 410-54-73,mariia45@example.org
Щербак,Яків,Григорійович,Чоловік,1991-05-20,Скульптор,хутір Полтава,"проспект Сурикова 2-й, буд. 473 кв. 088, Богодухів, 02434",+380 10 258 36 60,osemenchenko@example.org
Вернидуб,Геннадій,Володимирович,Чоловік,1970-10-15,Агроном,селище Люботин,"вулиця Академіка Корольова, буд. 54, Білопілля, 93687",+380 05 866-15-23,volodymyr40@example.com
Ґерус,Костянтин,Андрійович,Чоловік,1964-03-09,Драматург,хутір Гайсин,"провулок Пересипська 4-та, буд. 24, Славутич, 38883",753 42 91,giaremkiv@example.org
Лемешко,Макар,Петрович,Чоловік,1960-01-09,Водій,селище Чернівці,"площа Виставочна, буд. 709 кв. 7, Здолбунів, 83841",+380 (36) 081-53-66,ielysavetashtokalo@example.org
Гайдай,Зорян,Євгенович,Чоловік,1995-08-27,Електромонтер,селище Залізне,"парк Прибережний, буд. 50, Синельникове, 01613",+380 (86) 343-56-41,halyna84@example.net
Журавель,Пармен,Тарасович,Чоловік,1983-02-08,Реставратор,селище Берегове,"провулок Наявний 1-й, буд. 440 кв. 73, Монастирище, 82379",081 157-97-50,avhustyn03@example.org
Зубко,Єфрем,Юрійович,Чоловік,1980-12-09,Фермер,хутір Чернігів,"провулок Північна, буд. 2 кв. 6, Бобринець, 13567",506 88 76,iaroslavshvedchenko@example.com
Єрьоменко,Устим,Михайлович,Чоловік,1984-09-20,Економіст,хутір Олешки,"площа Пантелеймонівська, буд. 231, Снятин, 70701",+380 73 182-57-20,amasliak@example.com
Жадан,Демид,Сергійович,Чоловік,1994-05-30,Фізик,хутір Кагарлик,"сквер Слобідська, буд. 16 кв. 52, Березне, 59989",+380 89 109 20 67,nestortsymbal@example.com
Дробаха,Марко,Григорійович,Чоловік,1944-09-05,Стоматолог,місто Вилкове,"площа Десятого квітня, буд. 494, Комарно, 33503",+380 12 573-47-41,klavdiiabairak@example.com
Дубина,Тарас,Максимович,Чоловік,1985-12-03,Державний службовець,селище Українськ,"узвіз Лютеранський, буд. 045 кв. 713, Вінниця, 37279",+380 65 536-54-49,marta41@example.com
Вернигора,Єфрем,Володимирович,Чоловік,1960-01-12,Штукатур,хутір Підгородне,"провулок Лінія 43-тя, буд. 23, Глухів, 91198",+380 (61) 344-34-06,tkachandrii@example.net
Нестеренко,Данило,Юрійович,Чоловік,1976-02-03,Науковець,селище Дружба ,"провулок Педагогічний, буд. 3 кв. 207, Миколаїв, 02484",255-42-59,roksolanazaika@example.com
Павличенко,Аврелій,Євгенович,Чоловік,1995-04-27,Музикант,хутір Кагарлик,"площа Єнісейська, буд. 316 кв. 9, Гребінка, 84907",+380 (86) 260-59-62,svitlana29@example.net
Балабан,Андрій,Юрійович,Чоловік,1941-11-30,Музичний редактор,селище Ананьїв,"вулиця Оранжерейний, буд. 5 кв. 01, Винники, 90614",060 177-09-57,aaroniatsenko@example.com
Копитко,Михайло,Вікторович,Чоловік,1964-12-07,Няня,село Ровеньки,"шосе Студентський, буд. 769 кв. 1, Умань, 62440",+380 10 590-44-47,vermenychroksolana@example.net
Зінчук,Олег,Олегович,Чоловік,1954-09-27,Гірник,селище Южне,"набережна Строганов міст, буд. 0, Обухів, 56688",+380 (54) 034-27-73,hryhoriizasukha@example.com
Дашенко,Богодар,Григорійович,Чоловік,1972-10-21,Підприємець,селище Суми,"набережна Лузанівський 1-й, буд. 466, Збараж, 29726",+380 52 680-53-95,viktoriia33@example.net
Парасюк,Леопольд,Андрійович,Чоловік,2007-07-28,Інженер,село Рубіжне,"провулок Глиняна, буд. 00, Заставна, 49782",+380 27 580-94-53,jsheremeta@example.net
Євтушок,Пантелеймон,Максимович,Чоловік,1952-08-13,Сантехнік,село Вільнянськ,"узвіз Світанку, буд. 67 кв. 89, Сватове, 64647",+380 94 844-46-46,ozaichenko@example.org
Гайворонський,Григорій,Романович,Чоловік,1955-02-25,Випробувач,селище Лубни,"площа Пляжна, буд. 31 кв. 5, Олександрівськ, 66012",020 344-66-89,lbatih@example.com
Алексеєнко,Алевтин,Романович,Чоловік,1945-10-12,Гінеколог,село Київ,"провулок Луганська, буд. 57, Гола Пристань, 93355",931 96 45,lievdokymenko@example.net
Баштан,Хома,Іванович,Чоловік,1955-01-16,Штукатур,місто Сокаль,"узвіз Іванівський переїзд, буд. 465 кв. 53, Алчевськ, 77786",+380 05 553-00-92,oshcherbak@example.org
Токар,Арсен,Романович,Чоловік,1959-10-13,Режисер,селище Запоріжжя,"проспект Лінія 27-ма, буд. 444 кв. 022, Старий Крим, 81788",+380 (29) 797-46-54,dutkasymon@example.org
Гаєвська,Аркадій,Романович,Чоловік,1958-05-25,Стропальник,селище Рені,"узвіз Наявний 1-й, буд. 981 кв. 636, Глобине, 93778",063 67 84,hannakharchenko@example.org
Євтушенко,Хома,Максимович,Чоловік,1940-05-01,Історик,хутір Маріуполь,"площа Андрійця Олега, буд. 932, Сколе, 63473",945-36-58,lukianshvaika@example.com
Вишняк,Олег,Тарасович,Чоловік,1940-12-10,Біолог,селище Ічня,"узвіз Лютневий 1-й, буд. 9, Івано-Франківськ, 57209",+380 17 962-01-07,anastasiia12@example.org
Черінько,Охрім,Юрійович,Чоловік,1988-08-05,Музичний редактор,село Помічна,"шосе Ланжеронівський узвіз, буд. 33, Запоріжжя, 41597",+380 (82) 278-85-48,sofiia18@example.com
Баран,Мартин,Григорійович,Чоловік,1987-09-01,Художник,місто Синельникове,"вулиця Лузанівка, буд. 883 кв. 230, Чортків, 14064",579 84 75,bohuslav91@example.net
Гавришкевич,Яків,Євгенович,Чоловік,1954-08-16,Машиніст,село Вінниця,"парк Кавказька, буд. 87 кв. 2, Хрустальний, 72774",720-03-03,eduard47@example.com
Царенко,Демʼян,Володимирович,Чоловік,1946-09-25,М'ясник,місто Сулимівка (Слов'янськ),"проспект Рибальська, буд. 3, Кам'янка-Бузька, 74485",016 084 23 38,liudmyla68@example.com
Єрченко,Святослав,Павлович,Чоловік,1965-04-28,Футболіст,село Красногорівка,"провулок 3-тя Лінія Марії Демченко, буд. 31 кв. 6, Кадіївка, 43656",003 991-37-82,emiliiabezborodko@example.com
Ткаченко,Максим,Володимирович,Чоловік,1980-05-11,Складальник,село Глиняни,"парк Моторна, буд. 5, Жовква, 93117",+380 15 626-06-14,vchumak@example.com
Литвиненко,Валерій,Романович,Чоловік,1949-03-16,Редактор,селище Первомайський ,"проспект Володимира Вінниченка, буд. 86 кв. 9, Зіньків, 77760",+380 (40) 809-30-00,ezubko@example.org
Черінько,Борислав,Павлович,Чоловік,1982-07-20,Електромонтер,місто Старий Самбір,"провулок Рівності, буд. 7, Старобільськ, 23037",246-36-10,baranetsanita@example.net
Чуприна,Ростислав,Миколайович,Чоловік,1982-12-13,Стиліст,місто Маріуполь,"площа Уральська, буд. 9, Коростишів, 53530",042 841-70-45,leontii03@example.com
Тимченко,Юстим,Тарасович,Чоловік,1969-02-11,Парфюмер,селище Березань ,"парк Херсонський сквер, буд. 187 кв. 73, Бунге , 28173",479-07-57,hbevzenko@example.com
Нестайко,Остап,Богданович,Чоловік,1943-09-17,Піаніст,село Новоазовськ,"проспект Дальній, буд. 900, Подільськ, 23721",051 937 41 44,marusia49@example.com
Вдовиченко,Нестор,Сергійович,Чоловік,1987-04-28,Економіст,місто Мала Виска,"провулок Вапняний 1-й, буд. 164 кв. 8, Святогірськ, 38645",+380 93 865-27-23,iaremaborys@example.org
Малишко,Пантелеймон,Олегович,Чоловік,2004-05-15,Антрополог,хутір Славутич,"сквер Івана Франка, буд. 740 кв. 5, Хмельницький, 23240",+380 26 526-27-10,milena84@example.net
Височан,Богуслав,Михайлович,Чоловік,2003-08-22,Ветеринар,селище Золотоноша,"проспект Басейний 2-й, буд. 618, Іршава, 17486",044 363 73 49,ipavlenko@example.org
Кибкало,Левко,Сергійович,Чоловік,1958-09-02,Клавішник,місто Чернігів,"набережна Метрополітенівський, буд. 70, Тернопіль, 84709",979 14 33,iemelianenkoiakiv@example.com
Євдокименко,Опанас,Андрійович,Чоловік,1947-06-03,Вчитель,місто Кам'янка-Дніпровська,"шосе Леонова, буд. 937 кв. 3, Олександрія, 61379",+380 31 757-93-79,myroslavlemeshko@example.com
Бгиденко,Богодар,Дмитрович,Чоловік,1967-05-06,Ріелтор,селище Марганець ,"шосе Київське, буд. 074, Підгайці, 51817",+380 33 560-08-91,viktoriia68@example.net
Скирда,Степан,Вікторович,Чоловік,2000-01-02,Астрофізик,хутір Хотин,"площа Бузкова, буд. 91, Южне, 72320",+380 (61) 815-02-56,ebaturynets@example.net
Фурс,Герман,Олександрович,Чоловік,2006-05-05,Музикант,селище П'ятихатки,"набережна Йосипа Тимченка, буд. 980 кв. 7, Шахтарськ, 44971",347 86 77,havrylo13@example.org
Юрченко,Зиновій,Олександрович,Чоловік,1960-06-02,Водій,хутір Вугледар,"парк Трамвайна, буд. 97, Чернігів, 95742",+380 62 345-46-58,iustym61@example.com
Забіла,Орест,Вікторович,Чоловік,1945-03-29,Драматург,селище Житомир,"шосе Шовкуненка, буд. 0, Іллінці, 25241",+380 12 820-78-02,tsisykdemyd@example.com
Малик,Ярослав,Павлович,Чоловік,1965-03-23,Різноробочий,хутір Остер ,"узвіз Москеті, буд. 94, Нова Одеса, 33818",+380 25 665 38 35,edyta50@example.com
Козаченко,Ігор,Олександрович,Чоловік,1983-06-24,Ґрунтознавець,село Слов'янськ,"парк Водний, буд. 223 кв. 166, Червоносів, 71093",062 822-95-80,sartymovych@example.com
Лаба,Євген,Вікторович,Чоловік,1974-03-31,Географ,село Костянтинівка,"провулок Хімічний 3-й, буд. 99 кв. 452, Козятин, 84108",+380 08 998-29-32,bohdaniefymenko@example.com
Демʼянчук,Амвросій,Вікторович,Чоловік,1965-05-22,Випробувач,село Кодима,"шосе Краснослобідський, буд. 4, Тиврів, 65067",+380 91 569 66 29,paliiliudmyla@example.org
Величко,Леон,Вікторович,Чоловік,1978-05-10,Головний меркшейдер,хутір Березань ,"шосе Грибоєдова, буд. 8 кв. 35, Канів, 05685",+380 11 964 63 85,turkaloviktor@example.org
Засуха,Гліб,Євгенович,Чоловік,1974-07-06,Державний службовець,хутір Миронівка,"шосе Військовий узвіз, буд. 64, Дніпро , 27144",012 688-19-45,iosypkonoplia@example.org
Запорожець,Костянтин,Максимович,Чоловік,1990-05-25,Флорист,хутір Снігурівка,"проспект Деревообробний 4-й, буд. 61 кв. 436, Добропілля, 90706",+380 79 456 38 29,leibozhenko@example.net
Вівчаренко,Марко,Михайлович,Чоловік,1965-05-27,Професор,місто Винники,"набережна Василя Кандинського 5-й, буд. 66, Рубіжне, 22580",089 424 64 66,roman15@example.com
Сомко,Аврелій,Михайлович,Чоловік,1983-04-09,Лікар,місто Новомосковськ,"провулок Акордна, буд. 06, Житомир, 59240",+380 78 394-76-92,avrelii41@example.com
Нестайко,Ілля,Михайлович,Чоловік,1959-10-03,Астроном,село Чоп,"площа Шухевича Романа, буд. 34, Обухів, 55171",310 81 30,matiashsolomiia@example.net
Ляшко,Хома,Андрійович,Чоловік,1958-03-12,Євнух,село Феодосія,"сквер Слави, буд. 61 кв. 8, Жмеринка, 15006",+380 99 048-68-46,yhaidenko@example.com
Саєнко,Євген,Богданович,Чоловік,1955-09-15,Кінолог,село Володимир-Волинський,"вулиця 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 252, Деражня, 80555",+380 24 979-26-53,borysiermolenko@example.com
Корбут,Яків,Григорійович,Чоловік,1989-07-25,Ді-джей,селище Бар,"узвіз 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 89, Чортків, 99583",+380 40 856-76-54,tetianaivasiuk@example.com
Жайворон,Костянтин,Андрійович,Чоловік,2005-06-13,Льотчик,місто Радехів,"парк Івана Вазова, буд. 40 кв. 562, Херсон, 43551",+380 (04) 263-40-76,ekorbut@example.net
Александренко,Валерій,Тарасович,Чоловік,1962-03-03,Реабілітолог,місто Коростень,"парк Молоді, буд. 76 кв. 9, Новодружеськ, 63740",+380 01 571 13 10,andrii23@example.com
Батюк,Нестор,Федорович,Чоловік,1999-10-23,Правник,село Глиняни,"проспект Андросовський, буд. 0 кв. 043, Умань, 18181",072 436-68-21,onufriienkovadym@example.net
Бабійчук,Леопольд,Володимирович,Чоловік,1976-06-08,Петрограф,хутір Новодружеськ,"вулиця Крижанівський, буд. 60, Дубно, 91514",009-51-86,svitlanatsushko@example.org
Засядько,Тимофій,Миколайович,Чоловік,2000-09-04,Нотаріус,село Жовті Води,"набережна Привокзальна, буд. 29, Батурин, 42928",912 63 11,kyryloderkach@example.com
Юрчишина,Опанас,Богданович,Чоловік,1984-10-17,Бізнесмен,селище Мелітополь,"проспект Пестеля, буд. 604 кв. 3, Немирів, 97289",029 516 40 84,volodymyramykhailychenko@example.net
Батюк,Гордій,Михайлович,Чоловік,1958-11-19,Бізнесмен,хутір Горлівка,"проспект Ільфа і Петрова, буд. 31, Привілля, 49165",+380 05 369-22-79,fzaporozhets@example.com
Швайка,Панас,Романович,Чоловік,1944-02-12,Антрополог,село Тульчин,"провулок 10-та Суворовська, буд. 9, Пологи , 79951",068 065-13-48,sviatoslavaperebyinis@example.org
Лазаренко,Давид,Олегович,Чоловік,1989-11-15,Співак,хутір Фастів,"вулиця Тираспольське, буд. 705, Новоселиця, 36410",007 998 13 47,klymentkhomyk@example.org
Усик,Захар,Павлович,Чоловік,1977-11-14,Візажист,місто Ямпіль,"парк Пересипська 2-га, буд. 3, Ковель, 22047",825 86 83,dubenkoazar@example.net
Харченко,Максим,Михайлович,Чоловік,1939-01-05,Патологоанатом,хутір Дебальцеве,"вулиця Проектна 1-ша, буд. 6 кв. 55, Арциз, 43082",821 16 70,zlatoslava23@example.org
Бебешко,Мирослав,Петрович,Чоловік,1973-11-26,Педагог,місто Арциз,"проспект Прирейкова, буд. 3, Ланівці, 26507",365 41 79,davydenkostepan@example.org
Щербак,Борислав,Андрійович,Чоловік,1953-06-20,Сантехнік,село Золотоноша,"вулиця Дунаєвського 2-й, буд. 1, Коростишів, 45031",+380 01 175-47-55,okseniiaalekseienko@example.com
Барабаш,Антон,Федорович,Чоловік,1992-02-22,Архітектор,хутір Лисичанськ,"площа Панченка, буд. 7, Новоукраїнка, 80740",+380 03 498-76-51,klavdiiaskyrda@example.com
Лукаш,Ярослав,Павлович,Чоловік,1956-01-19,Біолог,село Звенигородка,"набережна Побратимів, буд. 608, Корюківка, 22234",+380 (18) 170-72-36,hordii45@example.net
Бараник,Михайло,Олегович,Чоловік,1972-04-18,Фольклорист,місто Хоростків,"провулок Мацієвської, буд. 990, Голубівка, 30571",028 604 62 61,demian03@example.com
Данилюк,Леон,Максимович,Чоловік,1960-10-29,Електрослюсар,місто Луцьк,"площа Соляний 2-й, буд. 73, Трускавець, 41129",292 81 35,fareniukiryna@example.net
Бакуменко,Єфрем,Павлович,Чоловік,1944-02-03,Прокурор,місто Новодружеськ,"проспект Андрійця Олега, буд. 281, Моршин, 09607",+380 (68) 206-92-20,semen47@example.net
Ємець,Теодор,Олегович,Чоловік,1986-03-24,Геолог,місто Буча,"шосе Чорноморський 13-й, буд. 28, Соледар, 36992",927 53 34,frantshaidenko@example.org
Христич,Хома,Григорійович,Чоловік,1958-02-18,Зоолог,село Сарни,"сквер Абрикосовий, буд. 3, Чуднів, 37436",000 299 47 46,ktokar@example.org
Затула,Мирон,Андрійович,Чоловік,1980-05-07,Біолог,село Джанкой,"проспект Баштанна, буд. 905 кв. 110, Сарни, 95681",+380 84 942 03 22,yievtushenko@example.org
Вакуленко,Святослав,Романович,Чоловік,1956-11-21,Золотар,село Харків,"парк Новаторів, буд. 5, Сміла, 91751",066 939 19 02,ieva48@example.com
Рубан,Василь,Романович,Чоловік,1944-02-25,Секретар,хутір Жовква,"провулок Латвійський узвіз, буд. 62 кв. 9, Тальне, 48956",586 94 14,drozdenkostepan@example.org
Артимишин,Альберт,Федорович,Чоловік,1995-09-21,Фольклорист,місто Кам'янка-Дніпровська,"провулок Берегова, буд. 36, Винники, 38249",+380 73 062-97-45,mykhaliukvolodymyra@example.net
Гаврюшенко,Петро,Іванович,Чоловік,1953-12-04,Фізик,місто Кремінна,"узвіз Маковий, буд. 33, Липовець, 90610",+380 97 753-75-25,mshynkarenko@example.org
Дзюба,Устим,Тарасович,Чоловік,2007-12-11,Електротехнік,село Токмак,"сквер Шахтинський, буд. 9 кв. 47, Київ, 16743",+380 26 422-61-04,zubkoerika@example.com
Чумаченко,Мирослав,Вікторович,Чоловік,1993-08-16,Клоун,село Старобільськ,"узвіз Заводська 5-та, буд. 366, Новоазовськ, 31953",+380 47 531 91 36,jprokopovych@example.com
Овсієнко,Аврелій,Миколайович,Чоловік,1992-02-13,Фрілансер,селище Дружківка,"площа Чехова, буд. 269 кв. 8, Червоносів, 83721",+380 52 898-16-80,nazar56@example.net
Чуйко,Василь,Олегович,Чоловік,1992-12-16,Модельєр,село Тлумач,"проспект Світлий, буд. 0, Яворів, 22252",+380 11 732-75-42,heorhiishamrai@example.com
Хоменко,Олександр,Андрійович,Чоловік,1952-08-04,Педагог,хутір Довжанськ,"вулиця Зелений, буд. 1, Старий Самбір, 13112",937 74 92,nzinchenko@example.net
Шутько,Климент,Миколайович,Чоловік,1985-04-28,Круп'є,місто Ізмаїл,"провулок Градоначальницька, буд. 975 кв. 64, Березівка, 49643",+380 34 365-50-77,orestshakhrai@example.org
Алексюк,Альберт,Павлович,Чоловік,1978-06-10,Дипломат,селище Кам'янка-Бузька,"шосе Вітчизняна, буд. 9 кв. 23, Мирноград, 03496",+380 61 020-76-19,leonid25@example.net
Єременко,Олег,Тарасович,Чоловік,1986-12-16,Детектив,село Монастириська,"парк Скидановський узвіз, буд. 78 кв. 3, Армянськ, 85662",285 45 29,dotsenkomarta@example.org
Ящук,Валерій,Євгенович,Чоловік,1950-02-08,Ді-джей,селище Кадіївка,"вулиця Леонова, буд. 12 кв. 747, Географія Вільнянська, 22917",+380 06 709-82-56,shmorhunfrants@example.net
Власенко,Пармен,Романович,Чоловік,1965-09-14,Астронавт,хутір Таврійськ,"вулиця Льва Толстого, буд. 9 кв. 443, Одеса, 60610",055-43-66,olenabaidak@example.org
Рябовіл,Степан,Олегович,Чоловік,1957-07-16,Актор,хутір Шахтарськ,"площа Олександра Вронського, буд. 62, Василівка , 21403",046 214-09-31,zarubaamvrosii@example.com
Данько,Пантелеймон,Михайлович,Чоловік,1986-09-15,Фермер,хутір Красноперекопськ,"шосе Ясна, буд. 7 кв. 116, Южноукраїнськ, 05972",076 941 82 72,olha03@example.org
Габелко,Аврелій,Богданович,Чоловік,2000-06-05,Бухгалтер,селище Берегове,"проспект Авіаційна, буд. 5, Конотоп, 29314",687 14 33,zubkonestor@example.com
Михалюк,Олександр,Євгенович,Чоловік,2007-07-31,Водій,село П'ятихатки,"парк Крушельницької, буд. 20 кв. 086, Новоселиця, 87112",099 670-65-26,rdzhus@example.com
Слюсар,Аврелій,Романович,Чоловік,1941-03-30,Композитор,село Буча,"вулиця Десятого квітня, буд. 07, Лохвиця, 03366",+380 85 913 67 63,tdzhus@example.org
Карпенко,Дмитро,Сергійович,Чоловік,1968-03-09,Музичний редактор,селище Балаклія,"проспект Стельмаха, буд. 253, Ватутіне, 84355",+380 93 765-86-18,konopliaaaron@example.org
Зінкевич,Данило,Михайлович,Чоловік,1979-02-07,Нотаріус,село Березівка,"проспект Куяльницький міст, буд. 7 кв. 125, Зоринськ, 40864",+380 (69) 109-98-60,arkadii42@example.org
Єсипенко,Адам,Максимович,Чоловік,1983-03-16,Біолог,місто Почаїв,"проспект Олександра Невського 1-й, буд. 0, Вознесенськ, 52381",+380 87 118-68-32,symon56@example.net
Яковенко,Аркадій,Тарасович,Чоловік,1967-04-23,Актор,місто Жидачів,"узвіз Орликова, буд. 58, Житомир, 70363",+380 18 557-42-53,dshvachka@example.net
Артюшенко,Ярослав,Олегович,Чоловік,1985-01-23,Дипломат,селище Чоп,"парк Святослава Ріхтера, буд. 00, Балта, 70788",004 972 75 61,fteslia@example.net
Штокало,Олесь,Андрійович,Чоловік,2003-04-15,Пілот,місто Первомайськ,"сквер Восьмого Березня Лінія 1-ша, буд. 598, Алупка, 86814",+380 (87) 814-67-10,emiliia54@example.com
Іваничук,Аарон,Андрійович,Чоловік,1999-08-12,Математик,селище Маріуполь,"вулиця Керченська, буд. 075, Обухів, 32615",+380 66 488-39-19,symon94@example.org
Гайда,Едуард,Павлович,Чоловік,1986-10-17,Швачка,хутір Тульчин,"парк Писарева, буд. 16 кв. 777, Вилкове, 21195",+380 (50) 124-71-29,amaliia50@example.net
